"구분(1)",구분(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분(1)",구분(2),TV/라디오(다큐멘터리 등 교양방송),TV/라디오(다큐멘터리 등 교양방송),TV/라디오(공익광고 등),TV/라디오(공익광고 등),SNS(페이스북 인스타그램 트위터 등),SNS(페이스북 인스타그램 트위터 등),신문/잡지 광고,신문/잡지 광고,포털사이트(네이버 다음 등),포털사이트(네이버 다음 등),수도 관련 홈페이지(환경부 지자체 등),수도 관련 홈페이지(환경부 지자체 등),리플릿 포스터 등 인쇄물,리플릿 포스터 등 인쇄물,수돗물 마시기 캠페인 등 시민 참여형 홍보,수돗물 마시기 캠페인 등 시민 참여형 홍보,지하철·버스·옥외 광고 등,지하철·버스·옥외 광고 등,기타,기타
"구분(1)",구분(2),1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위
"전체",소계,39.9,55.6,34.8,61.2,4.7,11.3,1.3,4.6,11.4,29.1,0.8,2.3,2.0,6.2,2.9,10.3,2.0,7.2,0.2,0.3
"성별",남자,38.6,52.7,33.9,59.5,5.8,13.2,1.2,5.1,13.1,32.6,0.9,2.5,1.8,6.3,2.8,10.1,1.7,6.0,0.2,0.3
"성별",여자,40.6,57.1,35.2,62.0,4.2,10.3,1.4,4.4,10.6,27.4,0.7,2.2,2.0,6.2,3.0,10.4,2.1,7.7,0.2,0.3
"연령",20대 이하,27.1,38.9,22.9,43.3,17.9,35.6,1.0,2.6,24.5,51.7,1.2,3.1,1.2,4.7,2.4,7.5,1.7,5.0,0.1,0.1
"연령",30대,33.4,46.1,26.9,48.1,9.5,22.8,1.4,3.6,20.5,47.5,1.1,2.8,2.4,7.2,3.0,8.8,2.0,6.6,0.0,0.1
"연령",40대,37.8,52.8,32.7,57.3,5.1,12.7,1.3,3.8,15.9,40.2,0.8,2.8,1.8,5.8,2.8,9.9,1.7,5.9,0.1,0.1
"연령",50대,42.4,57.8,35.8,62.3,2.5,6.8,1.6,5.3,9.3,28.1,0.8,2.5,2.1,6.8,3.1,11.0,2.2,7.5,0.2,0.3
"연령",60대 이상,45.5,64.1,41.9,73.2,1.0,2.6,1.2,5.7,2.7,8.6,0.5,1.5,1.9,6.0,3.0,11.4,2.0,8.5,0.4,0.4
"지역",서울특별시,41.2,58.5,31.1,56.9,4.2,11.5,1.6,4.0,13.0,31.9,1.0,2.5,2.1,7.1,2.7,9.9,2.9,9.0,0.0,0.0
"지역",부산광역시,47.0,62.0,36.4,68.2,2.1,7.0,0.7,3.0,7.1,22.2,0.3,2.4,0.9,4.0,3.1,12.2,2.3,12.0,0.1,0.1
"지역",대구광역시,42.9,65.0,31.8,60.5,3.8,9.5,1.1,3.6,18.9,39.0,0.0,0.4,0.1,1.4,1.0,3.9,0.3,1.7,0.1,0.1
"지역",인천광역시,42.6,56.0,25.6,58.3,5.2,13.6,1.2,4.3,15.4,32.7,0.8,1.6,3.5,9.4,1.7,6.9,4.0,12.4,0.0,0.0
"지역",광주광역시,46.3,63.0,20.5,46.6,5.1,12.5,1.6,4.2,15.6,31.8,1.6,3.7,3.0,14.3,5.1,11.5,1.2,5.0,0.0,0.1
"지역",대전광역시,36.0,49.3,33.9,58.4,7.3,14.1,0.2,2.9,8.5,21.9,2.6,5.2,2.4,8.8,5.7,15.5,3.4,18.3,0.0,0.0
"지역",울산광역시,20.5,30.6,45.0,62.3,7.0,12.7,5.7,10.6,16.4,28.6,0.3,1.7,0.6,1.6,3.3,9.3,0.7,4.1,0.5,0.6
"지역",세종특별자치시,31.1,46.7,34.9,61.5,4.9,12.6,1.0,4.1,13.5,26.4,0.9,3.0,5.0,12.1,7.3,21.6,1.3,10.1,0.0,0.0
"지역",경기도 수원시,67.2,80.5,11.5,33.6,1.9,7.5,0.7,3.9,5.4,48.2,0.1,1.1,5.9,10.5,6.2,10.4,1.0,1.3,0.0,0.0
"지역",경기도 성남시,18.1,33.0,30.7,50.4,6.6,14.3,2.3,4.8,21.6,42.6,0.5,2.8,2.9,8.7,10.4,22.7,7.0,14.3,0.0,0.0
"지역",경기도 의정부시,51.1,59.9,11.3,38.4,8.3,14.4,1.3,3.4,6.0,18.4,7.9,15.4,3.2,9.3,4.8,17.4,6.2,19.3,0.0,0.0
"지역",경기도 안양시,49.6,64.7,32.3,63.9,3.0,11.3,0.4,3.0,9.5,26.4,0.2,0.9,1.5,4.9,2.1,9.0,1.6,4.0,0.0,0.0
"지역",경기도 부천시,49.7,73.5,34.7,70.4,2.2,5.7,1.6,6.3,9.8,26.1,1.0,3.2,0.3,3.0,0.6,2.2,0.1,3.2,0.0,0.0
"지역",경기도 광명시,28.8,49.8,34.5,50.3,5.5,16.7,1.2,3.4,18.1,46.1,0.0,0.2,7.9,11.1,2.0,6.4,1.6,6.0,0.3,0.4
"지역",경기도 평택시,43.7,58.7,19.5,36.2,5.6,13.0,2.9,6.7,18.1,36.0,2.0,6.2,3.5,10.1,2.4,10.9,2.4,6.0,0.0,0.0
"지역",경기도 동두천시,36.1,56.3,40.1,68.7,2.4,6.3,1.0,3.1,8.2,21.9,2.5,8.6,5.5,7.3,0.7,9.2,3.6,16.8,0.0,0.0
"지역",경기도 안산시,52.9,65.0,22.4,53.4,5.6,12.3,0.1,0.5,13.3,28.0,0.4,3.0,2.8,10.4,1.6,14.8,0.4,6.1,0.6,0.7
"지역",경기도 고양시,53.2,63.0,27.5,54.4,0.9,4.0,0.6,3.2,11.9,31.9,0.2,2.0,1.3,7.9,1.6,8.1,2.7,15.3,0.0,0.0
"지역",경기도 과천시,43.3,58.6,12.3,29.1,4.4,10.4,6.9,10.5,13.2,24.0,2.8,6.6,7.9,16.8,4.9,22.7,4.4,18.4,0.0,0.0
"지역",경기도 구리시,19.2,33.9,35.2,50.3,5.1,14.9,1.9,5.1,20.5,36.9,1.2,4.6,5.0,14.8,4.1,15.8,7.9,12.5,0.0,0.0
"지역",경기도 남양주시,53.4,67.4,33.1,60.5,2.3,5.2,0.6,3.9,8.4,34.0,0.1,0.3,1.5,10.5,0.5,3.8,0.2,1.3,0.0,0.0
"지역",경기도 오산시,53.1,77.4,24.7,57.2,3.5,9.3,1.5,2.5,8.0,16.8,2.7,5.6,0.4,2.7,3.3,15.6,2.9,7.3,0.0,0.0
"지역",경기도 시흥시,31.8,54.1,46.3,68.1,4.1,7.9,1.9,4.0,5.6,28.8,1.1,2.5,3.7,12.5,4.4,12.9,1.2,4.8,0.0,0.0
"지역",경기도 군포시,42.5,57.8,29.7,45.5,3.2,10.9,0.4,0.5,22.5,32.9,0.4,0.4,0.4,0.9,0.8,2.6,0.2,0.9,0.0,0.0
"지역",경기도 의왕시,53.0,75.9,25.8,80.2,7.7,12.5,3.2,7.4,7.4,13.7,0.6,2.6,0.2,2.6,2.1,3.9,0.0,0.2,0.0,0.0
"지역",경기도 하남시,39.9,57.9,39.0,61.2,2.6,5.5,0.3,2.3,10.3,31.6,2.2,6.3,1.0,4.2,3.2,14.4,1.5,6.0,0.0,0.0
"지역",경기도 용인시,57.3,74.6,30.1,76.8,2.0,6.1,1.5,5.0,7.9,24.4,0.0,0.0,0.5,1.9,0.2,2.5,0.6,3.0,0.0,0.0
"지역",경기도 파주시,22.8,32.3,56.0,81.3,1.2,5.1,0.0,3.6,13.5,35.6,0.1,1.4,0.3,2.0,4.3,13.9,1.8,22.7,0.0,0.0
"지역",경기도 이천시,39.4,64.7,37.1,70.4,3.7,12.6,1.8,7.9,6.5,14.3,0.0,0.5,0.0,0.8,11.6,24.6,0.0,1.2,0.0,0.0
"지역",경기도 안성시,35.4,65.3,23.2,59.1,9.2,14.2,4.6,6.0,15.3,21.1,0.6,3.3,2.8,10.5,8.4,12.1,0.6,1.5,0.0,0.0
"지역",경기도 김포시,29.5,50.9,61.1,90.1,0.4,2.4,0.3,1.6,3.7,23.3,0.0,1.4,0.8,3.8,0.0,1.7,4.2,23.7,0.0,0.0
"지역",경기도 화성시,33.2,54.0,29.1,48.3,8.8,15.8,1.0,3.5,14.9,33.3,0.5,1.7,4.8,15.4,4.4,12.1,3.2,11.4,0.1,0.7
"지역",경기도 광주시,25.7,51.5,40.6,64.1,3.9,10.1,1.1,4.1,8.0,24.3,2.2,5.0,5.4,10.2,8.7,18.3,4.3,6.7,0.0,0.0
"지역",경기도 양주시,35.8,46.0,32.8,62.7,2.6,4.6,0.4,2.7,2.7,8.4,2.5,12.9,4.2,7.1,8.6,36.2,10.3,17.1,0.0,0.0
"지역",경기도 포천시,76.4,82.9,8.4,35.5,8.3,13.4,0.0,3.9,2.8,28.3,0.0,1.1,2.0,6.7,0.6,16.8,1.4,9.1,0.0,0.0
"지역",경기도 여주시,31.1,39.8,59.2,78.4,0.0,3.6,0.5,0.8,8.1,33.8,0.0,0.0,0.0,0.2,0.3,2.0,0.7,6.0,0.0,0.0
"지역",경기도 연천군,45.9,55.3,29.4,43.2,0.2,3.5,1.2,6.7,3.0,11.5,1.1,3.2,7.0,22.7,3.4,12.5,8.9,33.9,0.0,0.0
"지역",경기도 가평군,81.6,93.0,1.2,12.7,0.4,6.8,0.0,1.7,10.2,16.8,0.3,2.8,4.4,7.1,0.7,1.7,1.2,4.1,0.0,0.0
