"구분(1)",구분(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분(1)",구분(2),TV/라디오,TV/라디오,신문/잡지,신문/잡지,환경부 지자체 홈페이지,환경부 지자체 홈페이지,포털사이트,포털사이트,SNS,SNS,버스/열차 등 광고,버스/열차 등 광고,옥외 전광판,옥외 전광판,세미나/포럼/설명회 등,세미나/포럼/설명회 등,주변 사람,주변 사람,기타,기타,해당사항 없음,해당사항 없음
"구분(1)",구분(2),1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위,1순위,1+2순위
"전체",소계,59.6,73.4,2.3,11.7,1.3,2.9,11.3,28.7,2.4,6.7,0.5,2.1,1.0,3.7,0.1,0.4,10.1,29.7,0.1,0.1,11.3,11.3
"성별",남자,58.9,72.0,2.3,13.3,1.4,3.3,13.1,31.7,2.8,7.8,0.4,1.8,1.0,3.8,0.1,0.3,8.2,24.3,0.1,0.2,11.8,11.8
"성별",여자,59.9,74.1,2.3,10.9,1.3,2.7,10.4,27.3,2.2,6.2,0.5,2.3,1.0,3.7,0.1,0.4,11.0,32.4,0.1,0.1,11.1,11.1
"연령",20대 이하,35.8,53.1,2.2,7.4,1.7,3.6,27.0,49.3,11.2,24.2,0.4,1.6,0.6,3.0,0.1,0.3,5.4,11.9,0.1,0.1,15.6,15.6
"연령",30대,49.0,66.1,2.2,8.9,1.7,3.9,21.6,47.2,5.2,14.2,0.8,2.3,1.1,3.9,0.3,0.5,6.3,16.7,0.1,0.2,11.7,11.7
"연령",40대,58.8,74.0,2.6,11.4,1.6,3.8,16.1,41.2,2.0,7.1,0.5,2.2,1.2,3.7,0.2,0.4,7.0,21.8,0.1,0.1,10.0,10.0
"연령",50대,65.3,78.0,2.4,12.8,1.3,2.9,8.4,28.3,1.1,3.8,0.5,2.2,1.0,4.0,0.1,0.4,10.3,30.7,0.1,0.2,9.6,9.6
"연령",60대 이상,66.3,77.5,2.2,13.5,0.9,1.8,1.7,7.4,0.4,1.1,0.4,2.0,0.8,3.5,0.1,0.3,14.8,44.3,0.1,0.1,12.4,12.4
"지역",서울특별시,58.5,73.3,1.3,9.2,1.4,3.3,13.9,34.0,2.5,6.3,0.8,3.1,1.2,3.8,0.1,0.2,7.3,27.0,0.0,0.0,12.9,12.9
"지역",부산광역시,70.8,81.6,1.2,9.7,0.4,1.7,9.0,25.6,1.9,6.6,0.2,1.9,0.6,6.6,0.0,0.2,6.9,35.3,0.0,0.0,9.2,9.2
