"구분(1)",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"구분(1)",총계,용도별,용도별,용도별,용도별,허가형태별,허가형태별,허가형태별,정호형태별,정호형태별,정호형태별,정호형태별,정호형태별
"구분(1)",소계,생활용,공업용,농·어업용,기타,허가시설,신고시설,기타시설,관정,인력관정,집수암거,우물,구분불가
"총계",1719625,837582,13256,865713,3074,30779,1563231,125615,588792,5462,648,2917,1121806
"서울특별시",7314,4939,186,2152,37,800,6492,22,4372,50,18,28,2846
"부산광역시",6605,5166,174,1198,67,383,6097,125,2923,43,3,16,3620
"대구광역시",5719,3007,189,2515,8,531,5172,16,3131,66,0,0,2522
"인천광역시",19815,8359,79,11318,59,311,18321,1183,7163,166,4,2,12480
"광주광역시",12825,5648,180,6995,2,351,12469,5,2201,1,0,0,10623
"대전광역시",21100,15497,203,5398,2,266,17965,2869,12874,242,32,162,7790
"울산광역시",6112,3828,169,2106,9,238,5594,280,691,3,0,2,5416
"세종특별자치시",23318,11787,166,11361,4,559,22756,3,6364,0,0,1,16953
"경기도",275614,160367,2838,111688,721,5492,249421,20701,81955,322,30,527,192780
"강원도",122225,76852,797,44518,58,1789,117440,2996,48425,808,72,29,72891
"충청북도",182923,95705,1794,85258,166,2857,171995,8071,59251,91,14,20,123547
"충청남도",299310,145974,1470,150621,1245,4375,257801,37134,66978,497,32,70,231733
"전라북도",237012,84831,735,151238,208,2308,200979,33725,84275,1887,301,630,149919
"전라남도",257250,119391,981,136697,181,2256,251279,3715,110430,495,47,803,145475
"경상북도",136117,49232,1617,85077,191,5761,120223,10133,48028,720,29,325,87015
"경상남도",101800,45629,1549,54517,105,2502,99227,71,49731,71,66,302,51630
"제주특별자치도",4566,1370,129,3056,11,0,0,4566,0,0,0,0,4566
